"","February_ColaDeBallena","February_EsteroZacatecas","September_ColaDeBallena","September_EsteroZacatecas","February_ColaDeBallena-February_EsteroZacatecas","February_ColaDeBallena-September_ColaDeBallena","February_ColaDeBallena-September_EsteroZacatecas","February_EsteroZacatecas-September_EsteroZacatecas","September_ColaDeBallena-September_EsteroZacatecas","February_ColaDeBallena-February_EsteroZacatecas-September_ColaDeBallena","February_ColaDeBallena-February_EsteroZacatecas-September_EsteroZacatecas","February_ColaDeBallena-September_ColaDeBallena-September_EsteroZacatecas","February_EsteroZacatecas-September_ColaDeBallena-September_EsteroZacatecas","February_ColaDeBallena-February_EsteroZacatecas-September_ColaDeBallena-September_EsteroZacatecas"
"k__Bacteria|p__Cyanobacteriota|c__Cyanobacteriia|o__Cyanobacteriales|f__Nostocaceae|g__Rivularia_PCC-7116",0,0,0,0,0,0,0,0.0416666666666667,0,0,0,0,0,0
"k__Bacteria|p__Chloroflexota|c__Anaerolineae|o__Anaerolineales|f__Anaerolineaceae|g__ADurb.Bin120",0.0144927536231884,0,0,0,0.0256410256410256,0,0,0,0,0,0,0,0,0
"k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__EPR3968-O8a-Bc78|f__|g__",0.0144927536231884,0,0,0,0,0.0256410256410256,0,0,0,0,0,0,0,0
"k__Bacteria|p__Thermodesulfobacteriota|c__Desulfobacteria|o__Desulfobacterales|f__Desulfosarcinaceae|g__Desulfosarcina",0.0144927536231884,0,0,0,0.0256410256410256,0,0,0,0,0,0,0,0,0
"k__Bacteria|p__Thermodesulfobacteriota|c__Desulfobulbia|o__Desulfobulbales|f__Desulfobulbaceae|g__Candidatus_Electrothrix",0.0144927536231884,0,0,0,0.0256410256410256,0,0,0,0,0,0,0,0,0
"k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Enterobacterales|f__Alteromonadaceae|g__",0,0.0128205128205128,0,0,0,0,0,0,0,0,0,0,0.0217391304347826,0.00490196078431373
"k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Kiloniellales|f__Kiloniellaceae|g__",0,0.0128205128205128,0,0,0.0256410256410256,0,0,0,0,0,0,0,0,0
"k__Bacteria|p__Bacillota|c__Bacilli|o__Bacillales|f__Bacillaceae|g__",0,0,0,0.037037037037037,0,0,0,0,0,0,0,0,0,0
"k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Hyphomicrobiales|f__C2U|g__",0,0,0,0.037037037037037,0,0,0,0,0,0,0,0,0,0
"k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Sphingomonadales|f__Sphingomonadaceae|g__Pacificimonas",0,0,0,0,0,0,0,0,0,0,0,0,0.0217391304347826,0.0147058823529412
"k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Pseudomonadales|f__211ds20|g__",0,0,0,0,0,0.00854700854700855,0,0,0,0.0277777777777778,0,0,0,0
"k__Bacteria|p__Verrucomicrobiota|c__Verrucomicrobiia|o__Verrucomicrobiales|f__DEV007|g__",0,0.0256410256410256,0,0,0,0,0,0.00520833333333333,0,0,0,0,0,0.00490196078431373
"k__Bacteria|p__Chloroflexota|c__Anaerolineae|o__|f__|g__",0,0,0,0,0.0256410256410256,0,0,0,0,0,0,0,0,0.00980392156862745
"k__Bacteria|p__Planctomycetota|c__Planctomycetes|o__Planctomycetales|f__Rubinisphaeraceae|g__Planctomicrobium",0,0,0,0,0.0256410256410256,0,0,0,0,0,0,0,0,0.00980392156862745
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Cytophagales|f__Cyclobacteriaceae|g__Marinoscillum",0,0,0,0,0,0.00854700854700855,0,0,0,0,0,0,0.0217391304347826,0.00490196078431373
"k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Beggiatoales|f__Leucotrichaceae|g__",0,0,0,0,0,0.00854700854700855,0,0,0,0,0.0263157894736842,0,0,0
"k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__HOC36|f__|g__",0,0,0,0,0,0.00854700854700855,0,0,0,0,0.0263157894736842,0,0,0
"k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Sphingomonadales|f__Sphingomonadaceae|g__Altericroceibacterium",0,0,0,0,0,0,0,0,0,0.0277777777777778,0,0,0,0.00490196078431373
"k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Hyphomicrobiales|f__|g__",0.0144927536231884,0.0128205128205128,0,0,0,0,0,0.00520833333333333,0,0,0,0,0,0
"k__Bacteria|p__Verrucomicrobiota|c__Verrucomicrobiia|o__Verrucomicrobiales|f__Rubritaleaceae|g__Roseibacillus",0.0144927536231884,0.0128205128205128,0,0,0,0,0,0.00520833333333333,0,0,0,0,0,0
"k__Bacteria|p__Actinomycetota|c__Actinobacteria|o__Frankiales|f__Sporichthyaceae|g__Sporichthya",0,0,0,0,0,0,0,0,0.032258064516129,0,0,0,0,0
"k__Bacteria|p__Thermodesulfobacteriota|c__Desulfuromonadia|o__Bradymonadales|f__|g__",0,0,0,0,0,0,0,0,0.032258064516129,0,0,0,0,0
"k__Bacteria|p__Chloroflexota|c__Anaerolineae|o__Ardenticatenales|f__Ardenticatenaceae|g__",0.0144927536231884,0,0,0,0,0,0,0,0,0,0,0.0175438596491228,0,0
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidetes_VC2.1_Bac22|f__|g__",0,0,0,0,0,0,0,0.00520833333333333,0,0,0.0263157894736842,0,0,0
"k__Bacteria|p__Cyanobacteriota|c__Cyanobacteriia|o__Phormidesmiales|f__Phormidesmiaceae|g__Acrophormium_PCC-7375",0,0.0256410256410256,0,0,0,0,0,0.00520833333333333,0,0,0,0,0,0
"k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Rhodobacterales|f__Paracoccaceae|g__Marivita",0,0,0,0,0.0256410256410256,0,0,0.00520833333333333,0,0,0,0,0,0
"k__Bacteria|p__Planctomycetota|c__Planctomycetes|o__Pirellulales|f__Pirellulaceae|g__Bythopirellula",0,0,0,0,0.0256410256410256,0,0,0,0,0,0,0,0,0.00490196078431373
"k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Sphingomonadales|f__Sphingomonadaceae|g__Parasphingopyxis",0,0,0,0,0.0256410256410256,0,0,0,0,0,0,0,0,0.00490196078431373
