Phylum	Class	Order	Family	contribution	n_asvs	n_ecs	n_samples	top_genus	pct
Pseudomonadota	Gammaproteobacteria	Steroidobacterales	Steroidobacteraceae	22	1	2	1	Steroidobacter	0.01
Thermodesulfobacteriota	Desulfobulbia	Desulfobulbales	Desulfurivibrionaceae	22	3	1	3	MSBL7	0.01
Patescibacteria	ABY1	Candidatus_Magasanikbacteria	Unclassified	21	6	1	5	Unclassified	0.01
Patescibacteria	Gracilibacteria	Absconditabacteriales_(SR1)	Unclassified	20.25	3	3	4	Unclassified	0.01
Verrucomicrobiota	Verrucomicrobiia	Pedosphaerales	Pedosphaeraceae	20	5	3	6	Unclassified	0.01
Entotheonellaeota	Entotheonellia	Entotheonellales	Entotheonellaceae	20	5	1	6	Candidatus_Entotheonella	0.01
Pseudomonadota	Gammaproteobacteria	Ga0077536	Unclassified	20	3	2	3	Unclassified	0.01
Chloroflexota	Anaerolineae	RBG-13-54-9	Unclassified	19.5	5	1	5	Unclassified	0.01
Pseudomonadota	Gammaproteobacteria	Burkholderiales	Nitrosomonadaceae	19	3	2	3	Nitrosomonas	0.01
Patescibacteria	Dojkabacteria	Unclassified	Unclassified	19	5	3	6	Unclassified	0.01
Pseudomonadota	Gammaproteobacteria	Enterobacterales	Idiomarinaceae	18	1	1	1	Aliidiomarina	0.01
Pseudomonadota	Gammaproteobacteria	Methylococcales	Methylomonadaceae	17.5	1	3	1	Methylomarinum	0
Spirochaetota	Leptospirae	Leptospirales	Leptospiraceae	17	9	2	7	Unclassified	0
Chloroflexota	Chloroflexia	Thermomicrobiales	AKYG1722	17	2	2	4	Unclassified	0
Chloroflexota	Anaerolineae	Thermoflexales	Thermoflexaceae	17	4	1	4	Thermoflexus	0
Schekmanbacteria	Unclassified	Unclassified	Unclassified	17	4	3	4	Unclassified	0
Pseudomonadota	Alphaproteobacteria	Rickettsiales	Unclassified	17	1	1	2	Unclassified	0
Thermodesulfobacteriota	Desulfovibrionia	Desulfovibrionales	Desulfomicrobiaceae	17	2	1	3	Desulfomicrobium	0
Pseudomonadota	Alphaproteobacteria	Azospirillales	Azospirillaceae	16.7	3	4	3	Unclassified	0
Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Xanthobacteraceae	16	1	1	1	Unclassified	0
Bacteroidota	Bacteroidia	Sphingobacteriales	Lentimicrobiaceae	15	3	1	5	Unclassified	0
Pseudomonadota	Gammaproteobacteria	EC3	Unclassified	15	2	3	2	Unclassified	0
