Phylum	Class	Order	Family	contribution	n_asvs	n_ecs	n_samples	top_genus	pct
Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Saccharospirillaceae	1952.97	21	9	18	Saccharospirillum	0.04
Bdellovibrionota	Oligoflexia	0319-6G20	Unclassified	1936	41	9	19	Unclassified	0.04
Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Lutibaculaceae	1932	3	5	12	Lutibaculum	0.04
Bacteroidota	Bacteroidia	Bacteroidales	Marinifilaceae	1903	8	8	11	Unclassified	0.04
Patescibacteria	Microgenomatia	Candidatus_Pacebacteria	Unclassified	1901	18	9	10	Unclassified	0.04
Pseudomonadota	Gammaproteobacteria	Burkholderiales	Nitrosomonadaceae	1880	11	8	15	Unclassified	0.04
Cyanobacteriota	Cyanobacteriia	Synechococcales	Cyanobiaceae	1870	8	6	16	Synechococcus_MBIC10613	0.03
Chloroflexota	Dehalococcoidia	FS117-23B-02	Unclassified	1848	7	6	9	Unclassified	0.03
Bacillota	Bacilli	Izemoplasmatales	Izemoplasmataceae	1846	19	3	7	Unclassified	0.03
Sumerlaeota	Sumerlaeia	Unclassified	Unclassified	1832	31	9	15	Unclassified	0.03
Pseudomonadota	Alphaproteobacteria	Micavibrionales	Unclassified	1720	36	5	21	Unclassified	0.03
Pseudomonadota	Alphaproteobacteria	AT-s3-44	Unclassified	1702	3	7	5	Unclassified	0.03
Acidobacteriota	Subgroup_21	Unclassified	Unclassified	1700.88	21	8	17	Unclassified	0.03
Planctomycetota	Pla4_lineage	Unclassified	Unclassified	1698	42	8	17	Unclassified	0.03
Pseudomonadota	Gammaproteobacteria	Tenderiales	Tenderiaceae	1685	6	9	12	Candidatus_Tenderia	0.03
Bacillota	Clostridia	Christensenellales	Christensenellaceae	1665.1	16	6	3	Unclassified	0.03
Bacillota	Clostridia	Oscillospirales	Oscillospiraceae	1662.14	16	5	7	Unclassified	0.03
Verrucomicrobiota	Omnitrophia	Omnitrophales	Omnitrophaceae	1638	44	9	16	Candidatus_Omnitrophus	0.03
Acidobacteriota	Vicinamibacteria	Subgroup_17	Unclassified	1638	6	8	16	Unclassified	0.03
Acidobacteriota	Acidobacteriae	Unclassified	Unclassified	1638	4	7	13	Unclassified	0.03
Pseudomonadota	Gammaproteobacteria	pItb-vmat-80	Unclassified	1625	10	9	9	Unclassified	0.03
Actinomycetota	Actinobacteria	Propionibacteriales	Propionibacteriaceae	1608	3	7	10	Unclassified	0.03
Bacillota	Clostridia	Clostridia_vadinBB60_group	Unclassified	1533.91	10	8	8	Unclassified	0.03
Chlorobiota	Chlorobia	Chlorobiales	Chlorobiaceae	1528	3	9	5	Chlorobaculum	0.03
Planctomycetota	vadinHA49	Unclassified	Unclassified	1486	31	9	17	Unclassified	0.03
Planctomycetota	Unclassified	Unclassified	Unclassified	1476	33	9	20	Unclassified	0.03
Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	C2U	1452	6	6	7	Unclassified	0.03
Sva0485	Unclassified	Unclassified	Unclassified	1444	11	8	12	Unclassified	0.03
Pseudomonadota	Alphaproteobacteria	Rhodospirillales	Thalassospiraceae	1432	2	5	14	Thalassospira	0.03
Pseudomonadota	Alphaproteobacteria	Rhodospirillales	Unclassified	1425	39	9	20	Unclassified	0.03
Cyanobacteriota	Cyanobacteriia	Cyanobacteriales	Cyanobacteriaceae	1423.2	21	8	16	Geminobacterium	0.03
Chloroflexota	Dehalococcoidia	S085	Unclassified	1419	8	7	7	Unclassified	0.03
Bacteroidota	Bacteroidia	Cytophagales	Amoebophilaceae	1414	18	9	15	Unclassified	0.03
Cyanobacteriota	Cyanobacteriia	Cyanobacteriales	Paraspirulinaceae	1403	7	8	5	ESFC-1	0.03
Patescibacteria	Parcubacteria	Candidatus_Moranbacteria	Unclassified	1361	10	8	9	Unclassified	0.03
Cyanobacteriota	Cyanobacteriia	Cyanobacteriales	Unclassified	1327	10	8	12	Unclassified	0.02
Patescibacteria	ABY1	Candidatus_Uhrbacteria	Unclassified	1300	13	8	9	Unclassified	0.02
Dependentiae	Babeliae	Babeliales	Vermiphilaceae	1245	19	8	12	Unclassified	0.02
Patescibacteria	WWE3	Unclassified	Unclassified	1236	26	9	13	Unclassified	0.02
Modulibacteria	Moduliflexia	Moduliflexales	Moduliflexaceae	1215	11	9	11	Unclassified	0.02
Actinomycetota	Acidimicrobiia	Acidimicrobiales	Acidimicrobiaceae	1198	8	8	14	Unclassified	0.02
Chloroflexota	Dehalococcoidia	661239	Unclassified	1190	8	5	11	Unclassified	0.02
Planctomycetota	Phycisphaerae	Pla1_lineage	Unclassified	1176	15	8	12	Unclassified	0.02
Chloroflexota	Dehalococcoidia	SAR202_clade	Unclassified	1174	17	8	12	Unclassified	0.02
Planctomycetota	Planctomycetes	Gemmatales	Gemmataceae	1171	22	6	13	Unclassified	0.02
Chloroflexota	JG30-KF-CM66	Unclassified	Unclassified	1170	8	8	11	Unclassified	0.02
Pseudomonadota	Gammaproteobacteria	Enterobacterales	Colwelliaceae	1142	9	9	12	Thalassotalea	0.02
Cyanobacteriota	Cyanobacteriia	Phormidesmiales	Unclassified	1133	4	7	7	Unclassified	0.02
Verrucomicrobiota	Kiritimatiellia	WCHB1-41	Unclassified	1109	40	7	14	Unclassified	0.02
Acidobacteriota	Vicinamibacteria	Vicinamibacterales	Unclassified	1096	13	8	12	Unclassified	0.02
Bacteroidota	Bacteroidia	Flavobacteriales	Unclassified	1093	14	9	14	Unclassified	0.02
Cyanobacteriota	Cyanobacteriia	Cyanobacteriales	Coleofasciculaceae	1091	11	8	5	Caldora_VP642b	0.02
Pseudomonadota	Gammaproteobacteria	AT-s2-59	Unclassified	1072	10	9	10	Unclassified	0.02
Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Hahellaceae	1072	8	7	9	Hahella	0.02
Pseudomonadota	Gammaproteobacteria	Pseudomonadales	P13-46	1065	6	7	9	Unclassified	0.02
Fermentibacterota	Fermentibacteria	Fermentibacterales	Fermentibacteraceae	1065	7	9	5	Unclassified	0.02
Myxococcota	bacteriap25	Unclassified	Unclassified	1059	25	8	16	Unclassified	0.02
Pseudomonadota	Alphaproteobacteria	Parvibaculales	PS1_clade	1054	12	6	12	Unclassified	0.02
