Phylum	Class	Order	Family	Genus	contribution	n_asvs	n_ecs	n_samples	pct
Pseudomonadota	Gammaproteobacteria	Enterobacterales	Colwelliaceae	Thalassotalea	142	3	3	10	0.04
Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Marixanthomonas	141	2	1	8	0.04
Actinomycetota	Actinobacteria	Micrococcales	Intrasporangiaceae	Serinicoccus	137.5	1	2	4	0.04
Thermodesulfobacteriota	Desulfobacteria	Desulfobacterales	Desulfolunaceae	Unclassified	136	10	1	4	0.04
Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Rhizobiaceae	Martelella	135	1	1	2	0.04
Planctomycetota	Pla4_lineage	Unclassified	Unclassified	Unclassified	134	14	2	10	0.04
Bacillota	Bacilli	Bacillales	Bacillaceae	Neobacillus	132	1	4	2	0.04
Actinomycetota	Actinobacteria	Frankiales	Unclassified	Unclassified	132	1	1	2	0.04
Bacteroidota	Bacteroidia	Chitinophagales	Saprospiraceae	Saprospira	130	3	1	5	0.04
Pseudomonadota	Gammaproteobacteria	Nitrosococcales	Nitrosococcaceae	AqS1	129	4	2	6	0.04
Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidetes_BD2-2	Unclassified	128	10	3	10	0.04
Pseudomonadota	Gammaproteobacteria	Enterobacterales	Kangiellaceae	Kangiella	126	1	2	6	0.04
Acidobacteriota	Acidobacteriae	Unclassified	Unclassified	Unclassified	126	4	1	13	0.04
Chloroflexota	Dehalococcoidia	S085	Unclassified	Unclassified	124	8	1	7	0.03
Thermodesulfobacteriota	Desulfobacteria	Desulfobacterales	Desulfobacteraceae	Unclassified	119.66	14	2	10	0.03
Pseudomonadota	Gammaproteobacteria	Burkholderiales	Rhodocyclaceae	Thauera	113	3	4	3	0.03
Thermodesulfobacteriota	Desulfobacteria	Desulfobacterales	Desulfatibacillaceae	Unclassified	110	10	1	5	0.03
Thermodesulfobacteriota	Desulfobacteria	Desulfobacterales	Desulfobacteraceae	Desulfobacter	104.5	20	1	7	0.03
Pseudomonadota	Alphaproteobacteria	Rhodobacterales	Paracoccaceae	Acidimangrovimonas	102	1	3	6	0.03
Gemmatimonadota	Gemmatimonadia	Gemmatimonadales	Gemmatimonadaceae	Unclassified	100	10	3	9	0.03
Pseudomonadota	Gammaproteobacteria	Enterobacterales	Alteromonadaceae	Catenovulum	100	5	1	9	0.03
Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Mesoflavibacter	98.5	2	1	8	0.03
Nitrospirota	Thermodesulfovibrionia	Unclassified	Unclassified	Unclassified	96	14	1	8	0.03
Bacteroidota	Bacteroidia	Cytophagales	Amoebophilaceae	Unclassified	95	7	3	7	0.03
Bacteroidota	Bacteroidia	Bacteroidales	Prolixibacteraceae	Maribellus	95	4	1	12	0.03
Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Porticoccaceae	Unclassified	94	4	3	5	0.03
Calditrichota	Calditrichia	Calditrichales	Calditrichaceae	JdFR-76	92	11	2	7	0.03
WS2	Unclassified	Unclassified	Unclassified	Unclassified	89	13	1	12	0.03
Pseudomonadota	Alphaproteobacteria	Sneathiellales	Sneathiellaceae	Sneathiella	88	5	1	9	0.02
Bacteroidota	Bacteroidia	Chitinophagales	Saprospiraceae	Rubidimonas	86	3	2	6	0.02
Thermodesulfobacteriota	Desulfobacteria	Desulfobacterales	Desulfobacteraceae	Desulfatiferula	86	3	1	3	0.02
Pseudomonadota	Gammaproteobacteria	Chromatiales	Sedimenticolaceae	Unclassified	84	5	3	6	0.02
Bacteroidota	Bacteroidia	Cytophagales	Cyclobacteriaceae	Tunicatimonas	84	9	3	7	0.02
Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Porticoccaceae	Porticoccus	83	6	1	5	0.02
Thermodesulfobacteriota	Desulfobacteria	Desulfobacterales	Desulfococcaceae	Unclassified	82.33	13	1	9	0.02
Bacteroidota	Bacteroidia	Flavobacteriales	Crocinitomicaceae	Brumimicrobium	82	3	1	9	0.02
Bacteroidota	Bacteroidia	Bacteroidales	SB-5	Unclassified	82	10	3	7	0.02
Pseudomonadota	Gammaproteobacteria	Pseudomonadales	P13-46	Unclassified	81	2	3	4	0.02
Pseudomonadota	Alphaproteobacteria	Caulobacterales	Parvularculaceae	Unclassified	78	2	1	2	0.02
Bacteroidota	Bacteroidia	Flavobacteriales	Unclassified	Unclassified	77	11	2	12	0.02
Thermodesulfobacteriota	Desulfuromonadia	Desulfuromonadales	Geopsychrobacteraceae	Unclassified	76.5	3	1	3	0.02
