taxon_id	Kingdom	Phylum	Class	Order	Family	Genus	Species	contribution	n_ecs	n_samples
ASV_12752	Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	Saprospiraceae	Lewinella	Unclassified	9	6	1
ASV_12796	Bacteria	Planctomycetota	Planctomycetes	Planctomycetales	Unclassified	Unclassified	Unclassified	9	4	1
ASV_1287	Bacteria	Pseudomonadota	Alphaproteobacteria	Rhodobacterales	Paracoccaceae	Unclassified	Unclassified	9	6	1
ASV_13068	Bacteria	Pseudomonadota	Alphaproteobacteria	Unclassified	Unclassified	Unclassified	Unclassified	9	6	1
ASV_13176	Bacteria	Gemmatimonadota	BD2-11_terrestrial_group	Unclassified	Unclassified	Unclassified	Unclassified	9	6	1
ASV_13192	Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	37-13	Unclassified	Unclassified	9	6	1
ASV_13217	Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	Saprospiraceae	Unclassified	Unclassified	9	6	1
ASV_1330	Bacteria	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	9	6	1
ASV_13313	Bacteria	Bdellovibrionota	Bdellovibrionia	Bdellovibrionales	Pseudobdellovibrionaceae	Unclassified	Unclassified	9	6	1
ASV_13381	Bacteria	Pseudomonadota	Alphaproteobacteria	Rhodobacterales	Paracoccaceae	Unclassified	Unclassified	9	5	1
ASV_13452	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Robertkochia	Unclassified	9	7	1
ASV_13491	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Gramella	Unclassified	9	7	1
ASV_135	Bacteria	Planctomycetota	Planctomycetes	Planctomycetales	Unclassified	Unclassified	Unclassified	9	6	1
ASV_13610	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Cryomorphaceae	Owenweeksia	Unclassified	9	6	1
ASV_13715	Bacteria	Planctomycetota	Planctomycetes	Gemmatales	Gemmataceae	Unclassified	Unclassified	9	6	1
