Phylum	Class	Order	Family	contribution	n_asvs	n_ecs	n_samples	top_genus	pct
Pseudomonadota	Alphaproteobacteria	Rhodospirillales	Unclassified	555.5	39	4	20	Unclassified	0.03
Acidobacteriota	Acidobacteriae	PAUC26f	Unclassified	551	18	4	14	Unclassified	0.03
Bacteroidota	Bacteroidia	Bacteroidales	Marinilabiliaceae	549	23	4	16	Unclassified	0.03
Bacillota	Bacilli	RF39	Unclassified	546	1	3	3	Unclassified	0.03
Bacteroidota	Bacteroidia	Bacteroidales	Marinifilaceae	540	8	4	11	Unclassified	0.03
Pseudomonadota	Alphaproteobacteria	Rhodospirillales	Thalassospiraceae	537	2	3	14	Thalassospira	0.03
Planctomycetota	Unclassified	Unclassified	Unclassified	532.5	33	5	20	Unclassified	0.03
Chloroflexota	Dehalococcoidia	SAR202_clade	Unclassified	522	17	4	12	Unclassified	0.03
Pseudomonadota	Gammaproteobacteria	Tenderiales	Tenderiaceae	519	6	4	12	Candidatus_Tenderia	0.03
Pseudomonadota	Alphaproteobacteria	AT-s3-44	Unclassified	517	3	4	5	Unclassified	0.03
Bdellovibrionota	Oligoflexia	0319-6G20	Unclassified	507	41	7	19	Unclassified	0.03
Bacteroidota	Bacteroidia	Cytophagales	Amoebophilaceae	507	18	4	15	Unclassified	0.03
Patescibacteria	Parcubacteria	Candidatus_Moranbacteria	Unclassified	505	10	7	9	Unclassified	0.03
Acidobacteriota	Vicinamibacteria	Subgroup_17	Unclassified	504	6	4	16	Unclassified	0.03
Chloroflexota	KD4-96	Unclassified	Unclassified	504	5	4	16	Unclassified	0.03
Acetothermia	Acetothermiia	Unclassified	Unclassified	496	8	4	8	AOM-SR-B11	0.03
Sumerlaeota	Sumerlaeia	Unclassified	Unclassified	491	31	4	15	Unclassified	0.03
Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Stappiaceae	490	4	4	9	Roseibium	0.03
Planctomycetota	Pla4_lineage	Unclassified	Unclassified	487	42	6	17	Unclassified	0.03
Dependentiae	Babeliae	Babeliales	Vermiphilaceae	482	19	4	12	Unclassified	0.03
Patescibacteria	ABY1	Candidatus_Uhrbacteria	Unclassified	477	13	7	9	Unclassified	0.03
Pseudomonadota	Alphaproteobacteria	Parvibaculales	PS1_clade	451	12	4	12	Unclassified	0.02
Bacteroidota	Bacteroidia	Flavobacteriales	NS9_marine_group	438	16	4	15	Unclassified	0.02
Campylobacterota	Campylobacteria	Campylobacterales	Sulfurimonadaceae	430	32	2	17	Sulfurimonas	0.02
Planctomycetota	vadinHA49	Unclassified	Unclassified	426	31	5	17	Unclassified	0.02
Acidobacteriota	Subgroup_21	Unclassified	Unclassified	424.28	21	4	17	Unclassified	0.02
Marinimicrobia_(SAR406_clade)	Unclassified	Unclassified	Unclassified	419	9	4	10	Unclassified	0.02
Patescibacteria	WWE3	Unclassified	Unclassified	417	26	7	13	Unclassified	0.02
Fibrobacterota	Chitinivibrionia	Chitinivibrionales	Chitinispirillaceae	412	11	4	6	BBMC-4	0.02
Chloroflexota	Dehalococcoidia	GIF3	Unclassified	408	9	7	8	Unclassified	0.02
Cyanobacteriota	Cyanobacteriia	Cyanobacteriales	Paraspirulinaceae	402	7	3	5	ESFC-1	0.02
Actinomycetota	Actinobacteria	Propionibacteriales	Propionibacteriaceae	402	3	3	10	Unclassified	0.02
Cyanobacteriota	Cyanobacteriia	Cyanobacteriales	Cyanobacteriaceae	389.01	21	3	16	Geminobacterium	0.02
Planctomycetota	Planctomycetes	Gemmatales	Gemmataceae	389	22	3	13	Unclassified	0.02
Actinomycetota	WCHB1-81	Unclassified	Unclassified	385	11	7	10	Unclassified	0.02
Bacteroidota	Bacteroidia	Sphingobacteriales	NS11-12_marine_group	384	15	4	14	Unclassified	0.02
Acidobacteriota	Acidobacteriae	Unclassified	Unclassified	378	4	3	13	Unclassified	0.02
Actinomycetota	Acidimicrobiia	Acidimicrobiales	Acidimicrobiaceae	363	8	3	14	Unclassified	0.02
Chloroflexota	Dehalococcoidia	S085	Unclassified	357	8	3	7	Unclassified	0.02
Pseudomonadota	Gammaproteobacteria	pItb-vmat-80	Unclassified	354	10	3	9	Unclassified	0.02
Pseudomonadota	Alphaproteobacteria	Sneathiellales	Sneathiellaceae	352	5	4	9	Sneathiella	0.02
Patescibacteria	Parcubacteria	Candidatus_Nomurabacteria	Unclassified	350	7	7	7	Unclassified	0.02
Chloroflexota	Dehalococcoidia	MSBL5	Unclassified	348	10	7	8	Unclassified	0.02
Chloroflexota	JG30-KF-CM66	Unclassified	Unclassified	348	8	3	11	Unclassified	0.02
Bacteroidota	Bacteroidia	Flavobacteriales	Unclassified	347	14	4	14	Unclassified	0.02
Bacillota	Clostridia	Lachnospirales	Lachnospiraceae	343.68	8	7	8	Natranaerovirga	0.02
Cyanobacteriota	Cyanobacteriia	Cyanobacteriales	Unclassified	339	10	3	12	Unclassified	0.02
Planctomycetota	Phycisphaerae	Pla1_lineage	Unclassified	336	15	4	12	Unclassified	0.02
